Logger initialized at 2025-04-14 16:40:46.285229
[2025-04-14 16:41:32] Episode 193: Total Reward = -0.55, Steps = 60
[2025-04-14 16:41:33] Episode 194: Total Reward = 5.30, Steps = 60
[2025-04-14 16:41:33] Episode 195: Total Reward = -1.40, Steps = 60
[2025-04-14 16:41:33] Episode 196: Total Reward = 0.80, Steps = 60
[2025-04-14 16:41:33] Episode 197: Total Reward = 4.85, Steps = 60
[2025-04-14 16:41:34] Episode 198: Total Reward = 2.15, Steps = 60
[2025-04-14 16:41:34] Episode 199: Total Reward = 1.70, Steps = 60
[2025-04-14 16:41:34] Episode 200: Total Reward = -0.10, Steps = 60
[2025-04-14 16:41:34] Episode 201: Total Reward = -1.20, Steps = 60
[2025-04-14 16:41:35] Episode 202: Total Reward = 5.10, Steps = 60
[2025-04-14 16:41:35] Episode 203: Total Reward = 0.75, Steps = 60
[2025-04-14 16:41:35] Episode 204: Total Reward = 4.05, Steps = 60
[2025-04-14 16:41:36] Episode 205: Total Reward = 1.25, Steps = 60
[2025-04-14 16:41:36] Episode 206: Total Reward = 4.10, Steps = 60
[2025-04-14 16:41:36] Episode 207: Total Reward = 2.20, Steps = 60
[2025-04-14 16:41:36] Episode 208: Total Reward = 0.95, Steps = 60
[2025-04-14 16:41:37] Episode 209: Total Reward = 4.40, Steps = 60
[2025-04-14 16:41:37] Episode 210: Total Reward = 1.60, Steps = 60
[2025-04-14 16:41:37] Episode 211: Total Reward = 0.95, Steps = 60
[2025-04-14 16:41:37] Episode 212: Total Reward = -1.45, Steps = 60
[2025-04-14 16:41:38] Episode 213: Total Reward = 3.30, Steps = 60
[2025-04-14 16:41:38] Episode 214: Total Reward = 0.80, Steps = 60
[2025-04-14 16:41:38] Episode 215: Total Reward = -2.20, Steps = 60
[2025-04-14 16:41:38] Episode 216: Total Reward = -1.50, Steps = 60
[2025-04-14 16:41:39] Episode 217: Total Reward = 3.00, Steps = 60
[2025-04-14 16:41:39] Episode 218: Total Reward = 2.90, Steps = 60
[2025-04-14 16:41:39] Episode 219: Total Reward = 0.85, Steps = 60
[2025-04-14 16:41:39] Episode 220: Total Reward = 6.80, Steps = 60
[2025-04-14 16:41:40] Episode 221: Total Reward = 0.40, Steps = 60
[2025-04-14 16:41:40] Episode 222: Total Reward = 2.50, Steps = 60
[2025-04-14 16:41:40] Episode 223: Total Reward = -1.05, Steps = 60
[2025-04-14 16:41:41] Episode 224: Total Reward = -1.50, Steps = 60
[2025-04-14 16:41:41] Episode 225: Total Reward = 3.20, Steps = 60
[2025-04-14 16:41:41] Episode 226: Total Reward = 1.10, Steps = 60
[2025-04-14 16:41:41] Episode 227: Total Reward = 5.60, Steps = 60
[2025-04-14 16:41:42] Episode 228: Total Reward = -3.90, Steps = 60
[2025-04-14 16:41:42] Episode 229: Total Reward = 0.55, Steps = 60
[2025-04-14 16:41:42] Episode 230: Total Reward = 3.55, Steps = 60
[2025-04-14 16:41:42] Episode 231: Total Reward = 6.00, Steps = 60
